CampaignDayW8,partyContactConW8No,partyContactConW8Yes,partyContactConW8Don't know,partyContactLabW8No,partyContactLabW8Yes,partyContactLabW8Don't know,partyContactLDW8No,partyContactLDW8Yes,partyContactLDW8Don't know,partyContactUKIPW8No,partyContactUKIPW8Yes,partyContactUKIPW8Don't know,partyContactGrnW8No,partyContactGrnW8Yes,partyContactGrnW8Don't know,partyContactOtherPartyW8No,partyContactOtherPartyW8Yes,partyContactOtherPartyW8Don't know,partyContactStrongerInW8No,partyContactStrongerInW8Yes,partyContactStrongerInW8Don't know,partyContactVoteLeaveW8No,partyContactVoteLeaveW8Yes,partyContactVoteLeaveW8Don't know,partyContactOthLeaveW8No,partyContactOthLeaveW8Yes,partyContactOthLeaveW8Don't know,partyContactOthRemainW8No,partyContactOthRemainW8Yes,partyContactOthRemainW8Don't know,partyContactNoneW8No,partyContactNoneW8Yes,partyContactNoneW8Don't know,partyContactDKW8No,partyContactDKW8Yes
11,0.694836127429689,0.24381258144800982,0.06135129112230123,0.545374928246489,0.39327378063120966,0.061351291122301206,0.7899053252271425,0.1487433836505563,0.06135129112230121,0.8411239001139122,0.09752480876378652,0.06135129112230123,0.9214217012160415,0.01722700766165735,0.06135129112230123,0.9386487088776988,0.0,0.06135129112230123,0.7220374674014673,0.21661124147623145,0.06135129112230121,0.6594083795461703,0.27924032933152854,0.06135129112230121,0.8413231705400813,0.09732553833761746,0.06135129112230123,0.8577518157568088,0.08089689312089,0.06135129112230123,0.9242142049433073,0.014434503934391513,0.06135129112230123,0.9386487088776988,0.06135129112230123
12,0.7472800469219709,0.20671641710885133,0.04600353596917772,0.5571628944118783,0.396833569618944,0.04600353596917772,0.8901408780938579,0.06385558593696436,0.04600353596917771,0.8471820865016825,0.10681437752913989,0.04600353596917772,0.9403593260206173,0.013637138010204861,0.04600353596917771,0.9374878341266561,0.016508629904166232,0.04600353596917772,0.78198327703354,0.17201318699728227,0.04600353596917771,0.6515629206798881,0.3024335433509342,0.04600353596917772,0.9012899015142114,0.05270656251661076,0.04600353596917771,0.9108830197562883,0.04311344427453408,0.04600353596917772,0.9388631128705928,0.01513335116022955,0.04600353596917772,0.9539964640308224,0.04600353596917772
13,0.6748287760777638,0.2238104310780394,0.10136079284419688,0.6236654330889588,0.27497377406684426,0.10136079284419688,0.7959331268011095,0.10270608035469365,0.10136079284419688,0.7144050868701085,0.18423412028569466,0.10136079284419688,0.8797483591768317,0.018890847978971524,0.10136079284419688,0.898639207155803,0.0,0.10136079284419686,0.5322402243814134,0.36639898277438976,0.10136079284419688,0.6706668739334973,0.22797233322230584,0.10136079284419688,0.8657341774862141,0.03290502966958895,0.10136079284419686,0.8440041760156096,0.05463503114019339,0.10136079284419686,0.898639207155803,0.0,0.10136079284419686,0.898639207155803,0.10136079284419686
14,0.7321523614159523,0.21979808145908802,0.048049557124959626,0.5755524453117284,0.376397997563312,0.04804955712495962,0.8414967115899072,0.11045373128513312,0.04804955712495962,0.8129799210258414,0.13897052184919892,0.04804955712495962,0.9128525868172113,0.039097856057828936,0.04804955712495961,0.9330343505436859,0.018916092331354436,0.04804955712495962,0.7230836991742392,0.22886674370080115,0.04804955712495962,0.7008552393923945,0.25109520348264586,0.048049557124959626,0.8548978998491082,0.09705254302593214,0.04804955712495962,0.8617326827232662,0.09021776015177416,0.04804955712495962,0.9519504428750404,0.0,0.04804955712495962,0.9519504428750404,0.04804955712495962
15,0.6149858492900501,0.3850141507099499,0.0,0.5695112142826962,0.4304887857173039,0.0,0.7959267001389441,0.204073299861056,0.0,0.8533436376040668,0.14665636239593313,0.0,0.9451777781319752,0.054822221868024754,0.0,0.9848940901914236,0.015105909808576328,0.0,0.6603538449794025,0.3396461550205975,0.0,0.7540915481741007,0.2459084518258993,0.0,0.9744288486470588,0.025571151352941288,0.0,0.9757889093680673,0.024211090631932712,0.0,1.0,0.0,0.0,1.0,0.0
16,0.7714083046010977,0.18086933914915007,0.04772235624975235,0.7077815370419208,0.24449610670832672,0.04772235624975235,0.7494703248615153,0.20280731888873238,0.04772235624975235,0.9009395729674059,0.0513380707828418,0.04772235624975235,0.8817653754564331,0.07051226829381459,0.04772235624975234,0.9355055471144575,0.016772096635790032,0.04772235624975234,0.6811506348609703,0.2711270088892773,0.04772235624975235,0.7109376877644707,0.24133995598577695,0.04772235624975236,0.878623094499659,0.07365454925058866,0.04772235624975235,0.8724873927859943,0.07979025096425346,0.04772235624975235,0.9289723214398993,0.023305322310348434,0.04772235624975234,0.9522776437502477,0.04772235624975234
17,0.7130557541368996,0.25661473535366003,0.030329510509440286,0.6255670284401801,0.3441034610503796,0.030329510509440303,0.896745059420036,0.07292543007052371,0.030329510509440286,0.8466701260185782,0.12300036347198144,0.030329510509440296,0.9593438554025095,0.01032663408805016,0.030329510509440286,0.9554252572992784,0.014245232191281241,0.030329510509440286,0.6559810921855702,0.31368939730498946,0.03032951050944031,0.6300213395575317,0.33964914993302797,0.03032951050944031,0.9125760021779035,0.05709448731265622,0.030329510509440286,0.8974881157427932,0.07218237374776654,0.030329510509440296,0.9572839750365897,0.012386514453970012,0.030329510509440286,0.9696704894905597,0.030329510509440286
18,0.7459488451424717,0.2330037655482609,0.021047389309267226,0.6175996992480657,0.361352911442667,0.02104738930926722,0.8708135454233492,0.10813906526738346,0.021047389309267233,0.8699288993716359,0.1090237113190968,0.021047389309267233,0.9158639607960922,0.06308864989464046,0.021047389309267233,0.9617255576305647,0.017227053060168054,0.021047389309267237,0.6350825088698836,0.34387010182084915,0.021047389309267223,0.6307743927729739,0.3481782179177588,0.021047389309267223,0.9107382342267107,0.06821437646402186,0.02104738930926723,0.8783515479138616,0.10060106277687116,0.02104738930926723,0.976060063589162,0.0028925471015708013,0.021047389309267237,0.9789526106907327,0.021047389309267237
19,0.6602280876396238,0.3238551765463307,0.015916735814045582,0.6394819635002251,0.3446013006857294,0.015916735814045582,0.8819960574017139,0.1020872067842406,0.01591673581404558,0.9353352078497098,0.04874805633624473,0.01591673581404558,0.9652678825704264,0.018815381615528176,0.01591673581404558,0.9733078115205475,0.010775452665407049,0.015916735814045582,0.6123476085377262,0.3717356556482284,0.015916735814045582,0.7924491600706315,0.191634104115323,0.01591673581404558,0.9059807286513627,0.07810253553459177,0.01591673581404558,0.8906743563767869,0.09340890780916762,0.01591673581404558,0.9779115256051456,0.0061717385808088086,0.015916735814045582,0.9840832641859545,0.015916735814045582
20,0.7676562938102006,0.17955506777159747,0.05278863841820211,0.5531636423683647,0.3940477192134333,0.05278863841820213,0.8830101159970597,0.06420124558473808,0.05278863841820211,0.7317240961419005,0.21548726543989735,0.0527886384182021,0.9164883144970227,0.030723047084775076,0.05278863841820211,0.9366128220295681,0.010598539552229851,0.05278863841820211,0.6082645689836111,0.3389467925981867,0.0527886384182021,0.6795085274823212,0.26770283409947676,0.05278863841820211,0.7943579722953082,0.15285338928648975,0.05278863841820211,0.8093125887380488,0.1378987728437492,0.0527886384182021,0.9401837587423089,0.00702760283948907,0.05278863841820211,0.947211361581798,0.05278863841820211
