,encoding_dim,hidden_size,num_epochs,val_loss,val_acc,val_mean_squared_error,val_binary_accuracy,val_binary_crossentropy,val_kullback_leibler_divergence,loss,acc,mean_squared_error,binary_accuracy,binary_crossentropy,kullback_leibler_divergence,mean_correlation,no_hidden_layers,elapsed_time,description
72,100.0,100.0,59.0,0.1638139422891458,0.9383049191794948,0.047243381809975935,0.9383049191794948,0.1633578624484857,126.70588099002607,0.14583824480026047,0.9438930855600044,0.04251088433949034,0.9438930855600044,0.1453841756614942,111.27396472362223,0.5093544461482804,2.0,658.7936809062958,Adagrad
73,100.0,100.0,80.0,0.1853132989438727,0.9282653179602608,0.054367498984963035,0.9282653179602608,0.18501399422013307,145.50617544131038,0.17498618029671115,0.9312546814505211,0.05168858616932805,0.9312546814505211,0.1746874155536501,133.10036089442593,0.4713463158234142,2.0,816.6887118816376,Adadelta
74,100.0,100.0,99.0,0.196819476240176,0.9257524311341628,0.05709083367948011,0.9257524311341628,0.1965493479900539,152.04152216977894,0.1926580992765537,0.9271304821264684,0.055910978074536426,0.9271304821264684,0.19238810166303105,149.22248280295463,0.42090948063185996,2.0,1176.8843138217924,
75,20.0,100.0,99.0,0.20311597374895185,0.9203583965120146,0.060271363378962925,0.9203583965120146,0.20290118841150373,155.5503371127133,0.19840251689125032,0.9216761417697188,0.05904037437218788,0.9216761417697188,0.1981882973441712,152.033385870042,0.4127385317776527,1.0,489.247983455658,
76,20.0,100.0,99.0,0.20474519118788612,0.9198609871880391,0.060686026231982576,0.9198609871880391,0.2045212267351426,157.01121820147702,0.20015273748929308,0.9210340526436106,0.059522440118183924,0.9210340526436106,0.199929526884902,153.2918899920443,0.40941951565430296,1.0,460.7853555679321,shuffle=False
77,20.0,100.0,99.0,0.2034537866431816,0.9201726168236252,0.060381675112703766,0.9201726168236252,0.2032272293883904,156.84102228244566,0.1984747403288444,0.9215429016010691,0.059085277848004714,0.9215429016010691,0.19824898523261614,151.86394407984056,0.411965444717354,1.0,462.95647978782654,batch_size=512
78,20.0,100.0,99.0,0.2032562021601929,0.9203953532169344,0.06027109325039714,0.9203953532169344,0.20311106485016486,155.97612890207716,0.19992460224443329,0.9212462511753802,0.059427548795712326,0.9212462511753802,0.19978001450475105,153.69580020948868,0.4121518280099058,1.0,463.1604912281037,"combo = [1, 0, 1, 0]"
79,20.0,100.0,30.0,0.3131161095519794,0.8890622078540179,0.08597062553243677,0.8890622078540179,0.2921773256679309,230.21911345157247,0.31095808523913426,0.8888016137611774,0.08613846379517379,0.8888016137611774,0.292700431187499,230.56348772559642,0.16254484804047778,1.0,155.81391215324405,"combo = [1, 1, 1, 0]"
80,20.0,100.0,99.0,0.23232116523733726,0.9097343878041224,0.06868046192406575,0.9097343878041224,0.23230916980257615,180.11070971573898,0.2316387761261445,0.9098774791498913,0.06849238196650193,0.9098774791498913,0.23162678069138345,178.80578461294067,0.33650051903015304,1.0,473.78409910202026,"combo = [1, 0, 1, 1]"
81,20.0,100.0,22.0,0.3165809222609594,0.8885400455274659,0.08658510434136807,0.8885400455274659,0.2947267004401281,227.23347871915385,0.3154528935137778,0.8883644914494765,0.08675221261321743,0.8883644914494765,0.2953507758159992,227.12830995218536,0.14395407482046108,1.0,119.57383918762207,"combo = [1, 1, 1, 1]"
82,20.0,100.0,59.0,0.205031349580622,0.9195411781135177,0.060797412007272275,0.9195411781135177,0.20452154113601248,160.31074338645732,0.20117747847907705,0.9206216178616397,0.05980548793250773,0.9206216178616397,0.20067085633947132,154.24458878525337,0.4107175352699261,1.0,287.9104676246643,learning_rate=0.01
83,20.0,100.0,70.0,0.29592215890315043,0.8881232240478982,0.08720791297760731,0.8881232240478982,0.2958725976410197,235.38316652153802,0.2963812516628777,0.8879449402042603,0.08734898245887897,0.8879449402042603,0.2963293708914943,235.6248858431533,,1.0,356.5283920764923,learning_rate=0.1
84,20.0,100.0,41.0,0.2291843854253201,0.910506798415214,0.06783090266733142,0.910506798415214,0.2282423340146451,182.0719176070645,0.2270045422591131,0.9109126092253016,0.06733427485710404,0.9109126092253016,0.22607150330580494,174.5179852986536,0.3457874402451686,1.0,211.2740840911865,learning_rate=0.05
85,20.0,100.0,21.0,0.22262674508958008,0.9130212788347676,0.06590568337896206,0.9130212788347676,0.22186924456029086,170.40441347360036,0.2199416634737696,0.91359768239279,0.0652515240243658,0.91359768239279,0.21919792550372788,168.67148166948348,0.36735632030528814,1.0,111.65138602256776,learning_rate=0.0001
86,20.0,100.0,15.0,0.21424405105307975,0.9164079415321809,0.0633659772445763,0.9164079415321809,0.2136254740496008,162.74780835154885,0.21167617637855088,0.9171236796068782,0.06269541307728979,0.9171236796068782,0.21107050914163467,162.5522139281966,0.3902872341033432,1.0,88.25804805755615,learning_rate=0.005
87,20.0,100.0,26.0,0.2182556131896803,0.9147065547262182,0.0646165859271657,0.9147065547262182,0.21735224519346447,170.44639142348208,0.21526127299878303,0.915562583659692,0.0638066281265961,0.915562583659692,0.21437022296763664,164.91294048432184,0.3800196311117623,1.0,136.96883416175842,learning_rate=0.02
88,20.0,100.0,28.0,0.21341777640893933,0.9166526079694409,0.0631312242862004,0.9166526079694409,0.21251113015726086,158.07160665836253,0.20991773110639156,0.917784989841386,0.062161215939737724,0.917784989841386,0.20902127501976786,160.9506009177906,0.3930066952081775,1.0,144.6332721710205,learning_rate=0.03
