Constituency,PANO,ONSConstID,Constituency,Region,Estimated declaration time,Day,Day/Time,CON,LAB,LIBDEM,GRN,SNP,PC,BXP,UKIP,OTHER,Registered Voters,Turnout
West Bromwich East,612,E14001029,West Bromwich East,West Midlands,02:00,5-Friday,5-Friday 02:00,16804,15211,1313,627,,,1475,,545,62111,57.92%
West Bromwich West,613,E14001030,West Bromwich West,West Midlands,02:00,5-Friday,5-Friday 02:00,17419,13620,915,664,,,1841,,0,64576,53.36%
Wirral South,624,E14001043,Wirral South,North West,02:00,5-Friday,5-Friday 02:00,16179,22284,2917,948,,,1219,,0,57280,76.02%
Wirral West,625,E14001044,Wirral West,North West,02:00,5-Friday,5-Friday 02:00,17692,20695,2706,965,,,860,,0,55550,77.26%
Wolverhampton North East,630,E14001049,Wolverhampton North East,West Midlands,02:00,5-Friday,5-Friday 02:00,17722,13642,960,603,,,1354,,0,61829,55.44%
Wycombe,642,E14001056,Wycombe,South East,02:00,5-Friday,5-Friday 02:00,24766,20552,6543,1454,,,,324,1117,78094,70.12%
Yeovil,646,E14001060,Yeovil,South West,02:00,5-Friday,5-Friday 02:00,34588,3761,18407,1629,,,,,875,82468,71.86%
Belfast West,48,N06000004,Belfast West,Northern Ireland,02:00,5-Friday,5-Friday 02:00,,,,,,,,,38782,65644,59.08%
Londonderry East,376,N06000006,Londonderry East,Northern Ireland,02:00,5-Friday,5-Friday 02:00,,,,,,,,,39302,69246,56.76%
Lagan Valley,347,N06000009,Lagan Valley,Northern Ireland,02:00,5-Friday,5-Friday 02:00,955,,,,,,,315,44135,75735,59.95%
Strangford,542,N06000016,Strangford,Northern Ireland,02:00,5-Friday,5-Friday 02:00,1476,,,790,,,,308,34911,66928,56.01%
"East Kilbride, Strathaven & Lesmahagow",223,S14000019,"East Kilbride, Strathaven & Lesmahagow",Scotland,02:00,5-Friday,5-Friday 02:00,11961,12791,3760,1153,26113,,,559,0,81224,69.36%
Lanark & Hamilton East,348,S14000042,Lanark & Hamilton East,Scotland,02:00,5-Friday,5-Friday 02:00,17056,10736,3037,,22243,,,,0,77659,68.34%
Midlothian,396,S14000045,Midlothian,Scotland,02:00,5-Friday,5-Friday 02:00,10467,14328,3393,,20033,,,,0,70544,68.36%
Dunbartonshire West,210,S14000059,Dunbartonshire West,Scotland,02:00,5-Friday,5-Friday 02:00,6436,12843,1890,867,22396,,,,708,66517,67.86%
Wrexham,641,W07000044,Wrexham,Wales,02:00,5-Friday,5-Friday 02:00,15199,13068,1447,445,,2151,1222,,0,49734,67.42%
Llanelli,375,W07000045,Llanelli,Wales,02:00,5-Friday,5-Friday 02:00,11455,16125,,,,7048,3605,,0,60513,63.18%
Swansea East,558,W07000048,Swansea East,Wales,02:00,5-Friday,5-Friday 02:00,9435,17405,1409,583,,1905,2842,,0,58450,57.45%
Aberavon,1,W07000049,Aberavon,Wales,02:00,5-Friday,5-Friday 02:00,6518,17008,1072,450,,2711,3108,,731,50747,62.27%
Torfaen,576,W07000053,Torfaen,Wales,02:00,5-Friday,5-Friday 02:00,11804,15546,1831,812,,1441,5742,,0,61743,60.21%
Newport East,417,W07000055,Newport East,Wales,02:00,5-Friday,5-Friday 02:00,14133,16125,2121,577,,872,2454,,0,58554,61.96%
Newport West,418,W07000056,Newport West,Wales,02:00,5-Friday,5-Friday 02:00,18075,18977,2565,902,,1187,1727,,0,66657,65.16%
Arfon,16,W07000057,Arfon,Wales,02:00,5-Friday,5-Friday 02:00,4428,10353,,,,13134,1159,,0,42215,68.87%
Dwyfor Meirionnydd,217,W07000061,Dwyfor Meirionnydd,Wales,02:00,5-Friday,5-Friday 02:00,9707,3998,,,,14447,1776,,0,44362,67.46%
Clwyd South,154,W07000062,Clwyd South,Wales,02:00,5-Friday,5-Friday 02:00,16222,14983,1496,,,2137,1468,,0,53919,67.33%
Blaenau Gwent,71,W07000072,Blaenau Gwent,Wales,02:00,5-Friday,5-Friday 02:00,5749,14862,1285,386,,1722,6215,,0,50736,59.56%
Pontypridd,454,W07000075,Pontypridd,Wales,02:00,5-Friday,5-Friday 02:00,11494,17381,,,,4990,2917,,149,60327,61.22%
Caerphilly,114,W07000076,Caerphilly,Wales,02:00,5-Friday,5-Friday 02:00,11185,18018,,,,6424,4490,,0,63166,63.51%
Islwyn,336,W07000077,Islwyn,Wales,02:00,5-Friday,5-Friday 02:00,9892,15356,1313,669,,2286,4834,,0,55423,61.98%
Vale of Glamorgan,589,W07000078,Vale of Glamorgan,Wales,02:00,5-Friday,5-Friday 02:00,27305,23743,,3251,,,,,508,76508,71.64%
Barnsley Central,29,E14000541,Barnsley Central,Yorkshire and The Humber,02:30,5-Friday,5-Friday 02:30,7892,14804,1176,900,,,11233,,898,65277,56.53%
Barnsley East,30,E14000542,Barnsley East,Yorkshire and The Humber,02:30,5-Friday,5-Friday 02:30,10377,14329,1330,922,,,11112,,0,69504,54.77%
Chichester,145,E14000633,Chichester,South East,02:30,5-Friday,5-Friday 02:30,35402,9069,13912,2527,,,,,333,85499,71.63%
Chorley,149,E14000637,Chorley,North West,02:30,5-Friday,5-Friday 02:30,,,,3600,,,,,36270,78177,51.00%
Dover,201,E14000670,Dover,South East,02:30,5-Friday,5-Friday 02:30,28830,16552,2895,1371,,,,,1053,76355,66.40%
