Constituency,PANO,ONSConstID,Constituency,Region,Estimated declaration time,Day,Day/Time,CON,LAB,LIBDEM,GRN,SNP,PC,BXP,UKIP,OTHER,Registered Voters,Turnout
Bromley & Chislehurst,104,E14000604,Bromley & Chislehurst,London,04:00,5-Friday,5-Friday 04:00,23958,13067,6621,1546,,,,,374,66711,68.30%
Bury St Edmunds,113,E14000613,Bury St Edmunds,East,04:00,5-Friday,5-Friday 04:00,37770,12782,,9711,,,,,1694,89644,69.11%
Canterbury,125,E14000619,Canterbury,South East,04:00,5-Friday,5-Friday 04:00,27182,29018,3408,,,,,,505,80203,74.95%
Carshalton & Wallington,133,E14000621,Carshalton & Wallington,London,04:00,5-Friday,5-Friday 04:00,20822,6081,20193,759,,,1043,,200,72926,67.33%
Suffolk Central & Ipswich North,547,E14000624,Suffolk Central & Ipswich North,East,04:00,5-Friday,5-Friday 04:00,35253,11862,6485,2650,,,,,0,76201,73.82%
Charnwood,136,E14000625,Charnwood,East Midlands,04:00,5-Friday,5-Friday 04:00,35121,12724,4856,2664,,,,,0,79556,69.59%
Chelmsford,139,E14000628,Chelmsford,East,04:00,5-Friday,5-Friday 04:00,31934,10295,14313,,,,,,580,80481,70.98%
Cheltenham,141,E14000630,Cheltenham,South West,04:00,5-Friday,5-Friday 04:00,28486,2921,27505,,,,,,445,81043,73.24%
Chippenham,147,E14000635,Chippenham,South West,04:00,5-Friday,5-Friday 04:00,30994,6399,19706,,,,,,0,77225,73.94%
Congleton,159,E14000646,Congleton,North West,04:00,5-Friday,5-Friday 04:00,33747,15186,6026,1616,,,,,658,80930,70.72%
Copeland,160,E14000647,Copeland,North West,04:00,5-Friday,5-Friday 04:00,22856,17014,1888,765,,,,,0,61693,68.93%
Crewe & Nantwich,169,E14000653,Crewe & Nantwich,North West,04:00,5-Friday,5-Friday 04:00,28704,20196,2618,975,,,1390,,149,80321,67.27%
Croydon Central,170,E14000654,Croydon Central,London,04:00,5-Friday,5-Friday 04:00,21175,27124,3532,1215,,,999,,0,81410,66.39%
Croydon North,171,E14000655,Croydon North,London,04:00,5-Friday,5-Friday 04:00,11822,36495,4476,1629,,,839,,348,88466,62.86%
Croydon South,172,E14000656,Croydon South,London,04:00,5-Friday,5-Friday 04:00,30985,18646,7503,1782,,,,442,0,83977,70.68%
Daventry,178,E14000660,Daventry,East Midlands,04:00,5-Friday,5-Friday 04:00,37055,10975,7032,2341,,,,,0,77521,74.05%
Dudley South,205,E14000672,Dudley South,West Midlands,04:00,5-Friday,5-Friday 04:00,24835,9270,1608,863,,,,,0,60731,60.23%
Dulwich & West Norwood,206,E14000673,Dulwich & West Norwood,London,04:00,5-Friday,5-Friday 04:00,9160,36521,,9211,,,571,73,242,84663,65.88%
East Ham,222,E14000679,East Ham,London,04:00,5-Friday,5-Friday 04:00,8527,41703,2158,883,,,1107,,250,88316,61.86%
Hampshire East,287,E14000680,Hampshire East,South East,04:00,5-Friday,5-Friday 04:00,33446,6287,13750,2600,,,,616,196,76478,74.39%
Ellesmere Port & Neston,234,E14000688,Ellesmere Port & Neston,North West,04:00,5-Friday,5-Friday 04:00,17237,26001,2406,964,,,2138,,0,70327,69.31%
Enfield North,237,E14000691,Enfield North,London,04:00,5-Friday,5-Friday 04:00,16848,23340,2950,1115,,,797,,0,68066,66.19%
Erith & Thamesmead,242,E14000696,Erith & Thamesmead,London,04:00,5-Friday,5-Friday 04:00,16124,19882,1984,876,,,2246,,272,65399,63.28%
Exeter,244,E14000698,Exeter,South West,04:00,5-Friday,5-Friday 04:00,19479,29882,,4838,,,1428,259,306,82043,68.49%
Feltham & Heston,248,E14000701,Feltham & Heston,London,04:00,5-Friday,5-Friday 04:00,17017,24876,3127,1133,,,1658,,0,80932,59.08%
Gosport,272,E14000713,Gosport,South East,04:00,5-Friday,5-Friday 04:00,32226,8948,5473,1806,,,,,0,73569,65.86%
Hackney North & Stoke Newington,280,E14000720,Hackney North & Stoke Newington,London,04:00,5-Friday,5-Friday 04:00,6784,39972,4283,4989,,,609,,227,92451,61.51%
Hackney South & Shoreditch,281,E14000721,Hackney South & Shoreditch,London,04:00,5-Friday,5-Friday 04:00,5899,39884,4853,2948,,,744,,111,89380,60.91%
Haltemprice & Howden,284,E14000724,Haltemprice & Howden,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,31045,10716,5215,1764,,,,,1039,71062,70.05%
Harborough,291,E14000728,Harborough,East Midlands,04:00,5-Friday,5-Friday 04:00,31698,14420,9103,1709,,,,,389,80480,71.22%
Harrow East,294,E14000731,Harrow East,London,04:00,5-Friday,5-Friday 04:00,26935,18765,3791,,,,,,0,72120,68.62%
Harrow West,295,E14000732,Harrow West,London,04:00,5-Friday,5-Friday 04:00,16440,25132,4310,1109,,,931,,0,72477,66.12%
Hayes & Harlington,300,E14000737,Hayes & Harlington,London,04:00,5-Friday,5-Friday 04:00,15284,24545,1947,739,,,1292,,187,72356,60.80%
Henley,305,E14000742,Henley,South East,04:00,5-Friday,5-Friday 04:00,32189,5698,18136,2736,,,,,0,76660,76.65%
Hereford & Herefordshire South,306,E14000743,Hereford & Herefordshire South,West Midlands,04:00,5-Friday,5-Friday 04:00,30390,10704,6181,2371,,,,,0,72085,68.87%
Hexham,312,E14000746,Hexham,North East,04:00,5-Friday,5-Friday 04:00,25152,14603,4672,1723,,,,,0,61324,75.26%
Hitchin & Harpenden,315,E14000749,Hitchin & Harpenden,East,04:00,5-Friday,5-Friday 04:00,27719,9959,20824,,,,,,369,76321,77.14%
Hornsey & Wood Green,318,E14000752,Hornsey & Wood Green,London,04:00,5-Friday,5-Friday 04:00,6829,35126,15884,2192,,,763,,311,81814,74.69%
Horsham,319,E14000753,Horsham,South East,04:00,5-Friday,5-Friday 04:00,35900,9424,14773,2668,,,,,477,86730,72.92%
Huddersfield,322,E14000756,Huddersfield,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,15572,20509,2367,1768,,,1666,,0,65525,63.92%
Ilford North,328,E14000759,Ilford North,London,04:00,5-Friday,5-Friday 04:00,20105,25323,2680,845,,,960,,201,72963,68.68%
Ilford South,329,E14000760,Ilford South,London,04:00,5-Friday,5-Friday 04:00,10984,35085,1795,714,,,1008,,3891,84957,62.95%
Ipswich,332,E14000761,Ipswich,East,04:00,5-Friday,5-Friday 04:00,24952,19473,2439,1283,,,1432,,0,75525,65.65%
Lancaster & Fleetwood,350,E14000776,Lancaster & Fleetwood,North West,04:00,5-Friday,5-Friday 04:00,18804,21184,2018,1396,,,1817,,0,70059,64.54%
Leeds North West,354,E14000780,Leeds North West,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,13222,23971,9397,1389,,,1304,,0,67741,72.75%
Leicester East,356,E14000782,Leicester East,East Midlands,04:00,5-Friday,5-Friday 04:00,19071,25090,2800,888,,,1243,,329,78432,63.01%
Leicester West,358,E14000784,Leicester West,East Midlands,04:00,5-Friday,5-Friday 04:00,13079,17291,1808,977,,,1620,,0,64918,53.57%
Lichfield,367,E14000791,Lichfield,West Midlands,04:00,5-Friday,5-Friday 04:00,34844,11206,5632,1743,,,,,568,76751,70.35%
Lincoln,368,E14000792,Lincoln,East Midlands,04:00,5-Friday,5-Friday 04:00,24267,20753,2422,1195,,,1079,,913,74778,67.71%
Loughborough,377,E14000797,Loughborough,East Midlands,04:00,5-Friday,5-Friday 04:00,27954,20785,4153,1504,,,,,235,79776,68.48%
Louth & Horncastle,378,E14000798,Louth & Horncastle,East Midlands,04:00,5-Friday,5-Friday 04:00,38021,9153,4114,,,,,,1044,79648,65.70%
Maidenhead,383,E14000803,Maidenhead,South East,04:00,5-Friday,5-Friday 04:00,32620,7882,13774,2216,,,,,0,76668,73.68%
Maldon,386,E14000806,Maldon,East,04:00,5-Friday,5-Friday 04:00,36304,6263,5990,1851,,,,,0,72641,69.39%
Manchester Central,387,E14000807,Manchester Central,North West,04:00,5-Friday,5-Friday 04:00,7734,36823,3420,1870,,,2335,,107,94247,55.48%
Manchester Gorton,388,E14000808,Manchester Gorton,North West,04:00,5-Friday,5-Friday 04:00,4244,34583,2448,1697,,,1573,,0,76419,58.29%
Manchester Withington,389,E14000809,Manchester Withington,North West,04:00,5-Friday,5-Friday 04:00,5820,35902,7997,1968,,,1308,,0,76530,69.25%
Bedfordshire Mid,42,E14000813,Bedfordshire Mid,East,04:00,5-Friday,5-Friday 04:00,38692,14028,8171,2478,,,,,1348,87795,73.71%
Dorset Mid & Poole North,197,E14000815,Dorset Mid & Poole North,South West,04:00,5-Friday,5-Friday 04:00,29548,3402,14650,1330,,,,,0,65426,74.79%
Milton Keynes South,398,E14000822,Milton Keynes South,South East,04:00,5-Friday,5-Friday 04:00,32011,25067,4688,1495,,,,,746,96343,66.44%
Mole Valley,400,E14000824,Mole Valley,South East,04:00,5-Friday,5-Friday 04:00,31656,2965,19615,1874,,,,464,536,74665,76.49%
Morley & Outwood,405,E14000826,Morley & Outwood,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,29424,18157,2285,1107,,,,,957,78803,65.90%
Newark,411,E14000829,Newark,East Midlands,04:00,5-Friday,5-Friday 04:00,34660,12844,5308,1950,,,,,0,75855,72.19%
Bedfordshire North East,43,E14000841,Bedfordshire North East,East,04:00,5-Friday,5-Friday 04:00,38443,14160,7999,1891,,,,,2525,90679,71.70%
Cambridgeshire North East,120,E14000842,Cambridgeshire North East,East,04:00,5-Friday,5-Friday 04:00,38423,8430,4298,1813,,,,,0,83699,63.28%
Hampshire North East,288,E14000844,Hampshire North East,South East,04:00,5-Friday,5-Friday 04:00,35280,5760,15069,1754,,,,,1407,78954,75.07%
Hertfordshire North East,309,E14000845,Hertfordshire North East,East,04:00,5-Friday,5-Friday 04:00,31293,13104,8563,2367,,,,,0,76123,72.68%
Somerset North East,518,E14000846,Somerset North East,South West,04:00,5-Friday,5-Friday 04:00,28360,13631,12422,1423,,,,,472,73665,76.44%
Herefordshire North,307,E14000847,Herefordshire North,West Midlands,04:00,5-Friday,5-Friday 04:00,32158,6804,7302,4769,,,,,0,70252,72.64%
Norfolk North,422,E14000848,Norfolk North,East,04:00,5-Friday,5-Friday 04:00,29792,3895,15397,,,,1739,,0,70729,71.86%
Hampshire North West,289,E14000857,Hampshire North West,South East,04:00,5-Friday,5-Friday 04:00,36591,9327,10283,2717,,,,,0,83083,70.91%
Wiltshire North,619,E14000860,Wiltshire North,South West,04:00,5-Friday,5-Friday 04:00,32373,5699,14747,1939,,,,,0,73283,74.72%
Nottingham East,432,E14000865,Nottingham East,East Midlands,04:00,5-Friday,5-Friday 04:00,8342,25735,1954,1183,,,1343,,1447,66262,60.37%
Nottingham North,433,E14000866,Nottingham North,East Midlands,04:00,5-Friday,5-Friday 04:00,12847,17337,1582,868,,,2686,,0,66495,53.12%
Nottingham South,434,E14000867,Nottingham South,East Midlands,04:00,5-Friday,5-Friday 04:00,14018,26586,3935,1583,,,2012,,0,79485,60.56%
Old Bexley & Sidcup,438,E14000869,Old Bexley & Sidcup,London,04:00,5-Friday,5-Friday 04:00,29786,10834,3822,1477,,,,,226,66104,69.81%
Oldham East & Saddleworth,439,E14000870,Oldham East & Saddleworth,North West,04:00,5-Friday,5-Friday 04:00,18589,20088,2423,778,,,2980,,1306,72173,63.96%
Oldham West & Royton,440,E14000871,Oldham West & Royton,North West,04:00,5-Friday,5-Friday 04:00,13452,24579,1484,681,,,3316,389,533,73063,60.82%
Orpington,442,E14000872,Orpington,London,04:00,5-Friday,5-Friday 04:00,30882,8504,7552,1783,,,,,0,68884,70.73%
Oxford East,443,E14000873,Oxford East,South East,04:00,5-Friday,5-Friday 04:00,10303,28135,6884,2392,,,1146,,118,77947,62.84%
Penistone & Stocksbridge,448,E14000876,Penistone & Stocksbridge,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,23688,16478,5054,,,,4300,,0,70925,69.82%
Penrith & The Border,449,E14000877,Penrith & The Border,North West,04:00,5-Friday,5-Friday 04:00,28875,10356,5364,2159,,,,,1070,67555,70.79%
Plymouth Moor View,452,E14000879,Plymouth Moor View,South West,04:00,5-Friday,5-Friday 04:00,26831,13934,2301,1173,,,,,0,69430,63.72%
Plymouth Sutton & Devonport,453,E14000880,Plymouth Sutton & Devonport,South West,04:00,5-Friday,5-Friday 04:00,20704,25461,2545,1557,,,2909,,0,77852,68.30%
Poole,455,E14000881,Poole,South West,04:00,5-Friday,5-Friday 04:00,29599,10483,7819,1702,,,,,848,73992,68.18%
Rayleigh & Wickford,463,E14000888,Rayleigh & Wickford,East,04:00,5-Friday,5-Friday 04:00,39864,8864,4171,2002,,,,,0,78959,69.53%
Reading East,464,E14000889,Reading East,South East,04:00,5-Friday,5-Friday 04:00,21178,27102,5035,1549,,,852,,202,77465,72.18%
Reading West,465,E14000890,Reading West,South East,04:00,5-Friday,5-Friday 04:00,24393,20276,4460,1263,,,,,0,74623,67.53%
Redditch,467,E14000892,Redditch,West Midlands,04:00,5-Friday,5-Friday 04:00,27907,11871,2905,1384,,,,,0,65391,67.39%
Richmond (Yorks),472,E14000895,Richmond (Yorks),Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,36693,9483,6989,2500,,,,,2038,82601,69.86%
Romsey & Southampton North,478,E14000901,Romsey & Southampton North,South East,04:00,5-Friday,5-Friday 04:00,27862,5898,16990,,,,,640,0,68228,75.32%
Rossendale & Darwen,480,E14000902,Rossendale & Darwen,North West,04:00,5-Friday,5-Friday 04:00,27570,18048,2011,1193,,,,,0,72771,67.09%
Rother Valley,481,E14000903,Rother Valley,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,21970,15652,2553,1219,,,6264,,1040,74802,65.10%
Rotherham,482,E14000904,Rotherham,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,11615,14736,2090,,,,6125,,1085,61688,57.79%
"Ruislip, Northwood & Pinner",484,E14000906,"Ruislip, Northwood & Pinner",London,04:00,5-Friday,5-Friday 04:00,29391,12997,7986,1646,,,,,589,73389,71.69%
Rutland & Melton,488,E14000909,Rutland & Melton,East Midlands,04:00,5-Friday,5-Friday 04:00,36507,9583,7970,2875,,,,917,458,82711,70.50%
Salisbury,496,E14000912,Salisbury,South West,04:00,5-Friday,5-Friday 04:00,30280,9675,10544,2486,,,,,745,74560,72.06%
Scarborough & Whitby,497,E14000913,Scarborough & Whitby,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,27593,17323,3038,,,,,,1770,74393,66.84%
Scunthorpe,498,E14000914,Scunthorpe,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,20306,13855,875,670,,,2044,,0,61955,60.93%
Selby & Ainsty,501,E14000917,Selby & Ainsty,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,33995,13858,4842,1823,,,,,1900,78715,71.67%
Sherwood,508,E14000924,Sherwood,East Midlands,04:00,5-Friday,5-Friday 04:00,32049,15863,2883,1214,,,,,700,77948,67.62%
Shipley,509,E14000925,Shipley,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,27437,21195,3188,1301,,,,,883,74029,72.95%
Sleaford & North Hykeham,514,E14000929,Sleaford & North Hykeham,East Midlands,04:00,5-Friday,5-Friday 04:00,44683,12118,5355,1742,,,,,2656,94761,70.23%
Slough,515,E14000930,Slough,South East,04:00,5-Friday,5-Friday 04:00,15781,29421,3357,1047,,,1432,,0,87632,58.24%
Leicestershire South,360,E14000940,Leicestershire South,East Midlands,04:00,5-Friday,5-Friday 04:00,36791,12787,5452,2439,,,,,0,80520,71.37%
Northamptonshire South,429,E14000942,Northamptonshire South,East Midlands,04:00,5-Friday,5-Friday 04:00,41755,13994,7891,2634,,,,,171,90840,73.15%
Staffordshire South,530,E14000945,Staffordshire South,West Midlands,04:00,5-Friday,5-Friday 04:00,36520,8270,3280,1935,,,,,0,73680,67.87%
Suffolk South,549,E14000946,Suffolk South,East,04:00,5-Friday,5-Friday 04:00,33276,10373,6702,3144,,,,,0,76201,70.20%
Swindon South,561,E14000947,Swindon South,South West,04:00,5-Friday,5-Friday 04:00,26536,19911,4299,,,,,,0,73118,69.40%
Bedfordshire South West,44,E14000949,Bedfordshire South West,East,04:00,5-Friday,5-Friday 04:00,32212,13629,5435,2031,,,,,0,79926,66.70%
Devon South West,191,E14000950,Devon South West,South West,04:00,5-Friday,5-Friday 04:00,33286,11856,6207,2018,,,,,0,72535,73.57%
Norfolk South West,425,E14000952,Norfolk South West,East,04:00,5-Friday,5-Friday 04:00,35507,9312,4166,1645,,,,,836,78455,65.60%
Surrey South West,554,E14000953,Surrey South West,South East,04:00,5-Friday,5-Friday 04:00,32191,4775,23374,,,,,,0,79129,76.26%
Wiltshire South West,620,E14000954,Wiltshire South West,South West,04:00,5-Friday,5-Friday 04:00,33038,11408,8015,2434,,,,,0,77970,70.41%
Spelthorne,527,E14000959,Spelthorne,South East,04:00,5-Friday,5-Friday 04:00,29141,10748,7499,2122,,,,,0,70929,69.80%
St Albans,490,E14000960,St Albans,East,04:00,5-Friday,5-Friday 04:00,22574,5000,28867,1004,,,,,154,73721,78.13%
Stone,540,E14000975,Stone,West Midlands,04:00,5-Friday,5-Friday 04:00,31687,11742,4412,2002,,,,,0,69378,71.84%
Stourbridge,541,E14000976,Stourbridge,West Midlands,04:00,5-Friday,5-Friday 04:00,27534,13963,2523,1048,,,,,621,69891,65.37%
Streatham,544,E14000978,Streatham,London,04:00,5-Friday,5-Friday 04:00,9060,30976,13286,2567,,,624,,0,84788,66.65%
Stretford & Urmston,545,E14000979,Stretford & Urmston,North West,04:00,5-Friday,5-Friday 04:00,13778,30195,2969,1357,,,1768,,0,72356,69.20%
Sutton & Cheam,556,E14000984,Sutton & Cheam,London,04:00,5-Friday,5-Friday 04:00,25235,7200,16884,1168,,,,,0,71760,70.36%
Tatton,563,E14000987,Tatton,North West,04:00,5-Friday,5-Friday 04:00,28277,10890,7712,2088,,,,,0,69018,70.95%
Taunton Deane,564,E14000988,Taunton Deane,South West,04:00,5-Friday,5-Friday 04:00,34164,4715,22464,,,,,,2390,88675,71.87%
Thornbury & Yate,570,E14000994,Thornbury & Yate,South West,04:00,5-Friday,5-Friday 04:00,30202,4208,17833,,,,,,0,69492,75.18%
Tottenham,578,E14001002,Tottenham,London,04:00,5-Friday,5-Friday 04:00,5446,35621,3168,1873,,,527,,221,75740,61.86%
Vauxhall,590,E14001008,Vauxhall,London,04:00,5-Friday,5-Friday 04:00,9422,31615,12003,2516,,,641,,136,88647,63.55%
Wakefield,591,E14001009,Wakefield,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,21283,17925,1772,,,,2725,,1322,70192,64.15%
Warrington North,599,E14001017,Warrington North,North West,04:00,5-Friday,5-Friday 04:00,19102,20611,3071,1257,,,2626,,0,72235,64.60%
Warrington South,600,E14001018,Warrington South,North West,04:00,5-Friday,5-Friday 04:00,28187,26177,5732,,,,1635,,168,86015,71.96%
Warwick & Leamington,601,E14001019,Warwick & Leamington,West Midlands,04:00,5-Friday,5-Friday 04:00,22929,23718,4995,1536,,,807,,220,76373,70.97%
Waveney,605,E14001022,Waveney,East,04:00,5-Friday,5-Friday 04:00,31778,13776,2603,2727,,,,,245,82791,61.76%
Wentworth & Dearne,611,E14001028,Wentworth & Dearne,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,14577,16742,1705,,,,7019,,1514,74536,55.75%
West Ham,614,E14001032,West Ham,London,04:00,5-Friday,5-Friday 04:00,9793,42181,4161,1780,,,1679,,606,97942,61.46%
Lancashire West,349,E14001033,Lancashire West,North West,04:00,5-Friday,5-Friday 04:00,19122,27458,2560,1248,,,2275,,0,73346,71.80%
Windsor,623,E14001042,Windsor,South East,04:00,5-Friday,5-Friday 04:00,31501,8147,11422,1796,,,,,376,75038,70.95%
Witham,626,E14001045,Witham,East,04:00,5-Friday,5-Friday 04:00,32876,8794,4584,3090,,,,,0,70402,70.09%
Witney,627,E14001046,Witney,South East,04:00,5-Friday,5-Friday 04:00,33856,8770,18679,,,,,,0,83845,73.12%
Woking,628,E14001047,Woking,South East,04:00,5-Friday,5-Friday 04:00,26396,8827,16629,1485,,,,600,0,75455,71.48%
Wyre & Preston North,643,E14001057,Wyre & Preston North,North West,04:00,5-Friday,5-Friday 04:00,31589,14808,4463,1729,,,,,335,75168,70.41%
Wythenshawe & Sale East,645,E14001059,Wythenshawe & Sale East,North West,04:00,5-Friday,5-Friday 04:00,13459,23855,3111,1559,,,2717,,58,76313,58.65%
Fermanagh & South Tyrone,249,N06000007,Fermanagh & South Tyrone,Northern Ireland,04:00,5-Friday,5-Friday 04:00,,,,,,,,,50762,72848,69.68%
Newry & Armagh,419,N06000011,Newry & Armagh,Northern Ireland,04:00,5-Friday,5-Friday 04:00,,,,,,,,,50779,81226,62.52%
Upper Bann,586,N06000017,Upper Bann,Northern Ireland,04:00,5-Friday,5-Friday 04:00,,,,,,,,,50045,82887,60.38%
Tyrone West,584,N06000018,Tyrone West,Northern Ireland,04:00,5-Friday,5-Friday 04:00,,,,521,,,,,40665,66259,62.16%
"Berwickshire, Roxburgh & Selkirk",51,S14000008,"Berwickshire, Roxburgh & Selkirk",Scotland,04:00,5-Friday,5-Friday 04:00,25747,2513,4287,,20599,,,,0,74518,71.32%
"Caithness, Sutherland & Easter Ross",115,S14000009,"Caithness, Sutherland & Easter Ross",Scotland,04:00,5-Friday,5-Friday 04:00,5176,1936,11705,,11501,,1139,,0,46930,67.03%
Ayrshire Central,24,S14000010,Ayrshire Central,Scotland,04:00,5-Friday,5-Friday 04:00,16182,6583,2283,,21486,,,,0,69742,66.72%
"Coatbridge, Chryston & Bellshill",156,S14000011,"Coatbridge, Chryston & Bellshill",Scotland,04:00,5-Friday,5-Friday 04:00,6113,17056,1564,808,22680,,,,0,72943,66.11%
"Cumbernauld, Kilsyth & Kirkintilloch East",173,S14000012,"Cumbernauld, Kilsyth & Kirkintilloch East",Scotland,04:00,5-Friday,5-Friday 04:00,7380,11182,2966,,24158,,,,0,66079,69.14%
"Inverness, Nairn, Badenoch & Strathspey",331,S14000039,"Inverness, Nairn, Badenoch & Strathspey",Scotland,04:00,5-Friday,5-Friday 04:00,15807,4123,5846,1709,26247,,1078,,0,78057,70.22%
Motherwell & Wishaw,406,S14000047,Motherwell & Wishaw,Scotland,04:00,5-Friday,5-Friday 04:00,7150,14354,1675,,20622,,,619,0,68856,64.51%
Fife North East,250,S14000049,Fife North East,Scotland,04:00,5-Friday,5-Friday 04:00,5961,1707,19763,,18447,,,,0,60905,75.33%
Monmouth,401,W07000054,Monmouth,Wales,04:00,5-Friday,5-Friday 04:00,26160,16178,4909,1353,,1182,,,435,67094,74.85%
Ceredigion,135,W07000064,Ceredigion,Wales,04:00,5-Friday,5-Friday 04:00,8879,6317,6975,663,,15208,2063,,0,56250,71.30%
Merthyr Tydfil & Rhymney,393,W07000071,Merthyr Tydfil & Rhymney,Wales,04:00,5-Friday,5-Friday 04:00,6307,16913,1116,,,2446,3604,,1860,56322,57.25%
Cardiff West,129,W07000079,Cardiff West,Wales,04:00,5-Friday,5-Friday 04:00,12922,23908,2731,1133,,3864,1619,,0,68508,67.40%
Cardiff South & Penarth,128,W07000080,Cardiff South & Penarth,Wales,04:00,5-Friday,5-Friday 04:00,14645,27382,2985,1182,,2386,1999,,0,78837,64.16%
Beverley & Holderness,53,E14000556,Beverley & Holderness,Yorkshire and The Humber,04:30,5-Friday,5-Friday 04:30,33250,12802,4671,1378,,,,,1441,79683,67.19%
Bognor Regis & Littlehampton,74,E14000576,Bognor Regis & Littlehampton,South East,04:30,5-Friday,5-Friday 04:30,32521,10018,5645,1826,,,,846,367,77488,66.10%
"Chester, City of",143,E14000640,"Chester, City of",North West,04:30,5-Friday,5-Friday 04:30,20918,27082,3734,1438,,,1388,,0,76057,71.74%
Derbyshire Dales,183,E14000664,Derbyshire Dales,East Midlands,04:30,5-Friday,5-Friday 04:30,29356,11975,6627,2058,,,,,0,65060,76.88%
Yorkshire East,650,E14000683,Yorkshire East,Yorkshire and The Humber,04:30,5-Friday,5-Friday 04:30,33988,11201,4219,1675,,,,,1686,80871,65.25%
Elmet & Rothwell,235,E14000689,Elmet & Rothwell,Yorkshire and The Humber,04:30,5-Friday,5-Friday 04:30,33726,16373,5155,1775,,,,,1196,80957,71.92%
Kensington,340,E14000768,Kensington,London,04:30,5-Friday,5-Friday 04:30,16768,16618,9312,535,,,384,,145,64609,67.73%
Mansfield,390,E14000810,Mansfield,East Midlands,04:30,5-Friday,5-Friday 04:30,31484,15178,1626,,,,,,458,77131,63.20%
Dorset North,198,E14000839,Dorset North,South West,04:30,5-Friday,5-Friday 04:30,35705,6737,11404,2261,,,,,0,75956,73.87%
Dorset South,199,E14000936,Dorset South,South West,04:30,5-Friday,5-Friday 04:30,30024,12871,5432,2246,,,,,485,72924,70.02%
Uxbridge & Ruislip South,587,E14001007,Uxbridge & Ruislip South,London,04:30,5-Friday,5-Friday 04:30,25351,18141,3026,1090,,,,283,130,70369,68.24%
Weaver Vale,607,E14001024,Weaver Vale,North West,04:30,5-Friday,5-Friday 04:30,22210,22772,3300,1051,,,1380,,0,70551,71.88%
Dorset West,200,E14001031,Dorset West,South West,04:30,5-Friday,5-Friday 04:30,33589,5729,19483,2124,,,,,0,80963,75.25%
Preseli Pembrokeshire,459,W07000065,Preseli Pembrokeshire,Wales,04:30,5-Friday,5-Friday 04:30,21381,16319,1943,,,2776,,,0,59586,71.19%
Carmarthen West & Pembrokeshire South,132,W07000066,Carmarthen West & Pembrokeshire South,Wales,04:30,5-Friday,5-Friday 04:30,22183,14438,1860,,,3633,,,0,58629,71.83%
Arundel & South Downs,18,E14000534,Arundel & South Downs,South East,05:00,5-Friday,5-Friday 05:00,35566,9722,13045,2519,,,,,556,81726,75.14%
Ashfield,19,E14000535,Ashfield,East Midlands,05:00,5-Friday,5-Friday 05:00,19231,11971,1105,674,,,2501,,13498,78204,62.63%
Ashton Under Lyne,21,E14000537,Ashton Under Lyne,North West,05:00,5-Friday,5-Friday 05:00,14281,18544,1395,1208,,,3151,,0,68497,56.32%
Basingstoke,34,E14000545,Basingstoke,South East,05:00,5-Friday,5-Friday 05:00,29593,15395,6841,2138,,,,,746,82926,65.98%
Bermondsey & Old Southwark,49,E14000553,Bermondsey & Old Southwark,London,05:00,5-Friday,5-Friday 05:00,9678,31723,15597,,,,1617,,0,93313,62.82%
Bethnal Green & Bow,52,E14000555,Bethnal Green & Bow,London,05:00,5-Friday,5-Friday 05:00,6528,44052,5892,2570,,,1081,,439,88169,68.69%
Blyth Valley,73,E14000575,Blyth Valley,North East,05:00,5-Friday,5-Friday 05:00,17440,16728,2151,1146,,,3394,,0,64429,63.42%
Bolsover,75,E14000577,Bolsover,East Midlands,05:00,5-Friday,5-Friday 05:00,21791,16492,1759,758,,,4151,,470,75157,60.43%
Bradford East,85,E14000587,Bradford East,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,9681,27825,3316,662,,,2700,,0,73206,60.36%
Bradford South,86,E14000588,Bradford South,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,16044,18390,1505,983,,,2819,,0,69046,57.56%
Bradford West,87,E14000589,Bradford West,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,6717,33736,1349,813,,,1556,,90,70694,62.61%
Bridgwater & Somerset West,95,E14000595,Bridgwater & Somerset West,South West,05:00,5-Friday,5-Friday 05:00,35827,11388,7805,1877,,,,,755,85327,67.57%
Broadland,103,E14000603,Broadland,East,05:00,5-Friday,5-Friday 05:00,33934,12073,9195,1412,,,,,363,78151,72.91%
Broxtowe,107,E14000607,Broxtowe,East Midlands,05:00,5-Friday,5-Friday 05:00,26602,21271,,1806,,,,,5593,73052,75.66%
