immigration_sentiment_factor_raw,Immigration: Bad(0) <-> Good(100){uniform},id
0,89,222
0,56,223
0,62,224
0,5,225
0,14,226
0,52,227
0,55,228
0,55,229
0,44,230
0,38,231
0,15,232
0,98,233
0,22,234
0,100,235
0,48,236
0,57,237
0,99,238
0,65,239
0,99,240
0,25,241
0,36,242
0,10,243
0,7,244
0,41,245
0,2,246
0,36,247
0,99,248
0,85,249
0,15,250
0,29,251
0,47,252
0,37,253
0,44,254
0,36,255
0,20,256
0,53,257
0,19,258
0,55,259
0,0,260
0,2,261
0,74,262
0,89,263
0,58,264
0,29,265
0,95,266
0,23,267
0,49,268
0,8,269
0,99,270
0,89,271
0,9,272
0,99,273
0,50,274
0,40,275
0,59,276
0,57,277
0,5,278
0,4,279
0,9,280
0,40,281
0,6,282
0,25,283
0,17,284
0,43,285
0,46,286
0,98,287
0,98,288
0,41,289
0,76,290
0,38,291
0,36,292
0,6,293
0,40,294
0,99,295
0,83,296
0,1,297
0,100,298
0,50,299
0,78,300
0,49,301
0,86,302
0,23,303
0,58,304
0,0,305
0,65,306
0,0,307
0,100,308
0,96,309
0,38,310
0,80,311
0,33,312
0,34,313
0,41,314
0,48,315
0,38,316
0,78,317
0,42,318
0,43,319
0,20,320
0,11,321
0,34,322
0,51,323
0,14,324
0,3,325
0,56,326
0,43,327
0,59,328
0,43,329
0,45,330
0,93,331
0,36,332
0,53,333
0,9,334
0,55,335
0,17,336
0,37,337
0,40,338
0,57,339
0,81,340
0,31,341
0,54,342
0,10,343
0,0,344
0,86,345
0,24,346
0,95,347
0,30,348
0,33,349
0,4,350
0,73,351
0,94,352
0,66,353
0,11,354
0,94,355
0,99,356
0,40,357
0,93,358
0,49,359
0,42,360
0,44,361
0,53,362
0,72,363
0,47,364
0,85,365
0,98,366
0,93,367
0,86,368
0,15,369
0,96,370
0,73,371
0,32,372
0,51,373
0,43,374
0,63,375
0,99,376
0,88,377
0,53,378
0,21,379
0,89,380
0,25,381
0,43,382
0,86,383
0,1,384
0,71,385
0,99,386
0,43,387
0,86,388
0,12,389
0,12,390
0,61,391
0,56,392
0,87,393
0,96,394
0,65,395
0,85,396
0,65,397
0,77,398
0,15,399
0,50,400
0,35,401
0,26,402
0,37,403
0,65,404
0,95,405
0,15,406
0,92,407
0,76,408
0,11,409
0,60,410
0,2,411
0,12,412
0,60,413
0,33,414
0,70,415
0,88,416
