Contents,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 1 ,"Summary: Live births (numbers, rates and percentages): administrative area of usual residence of mother, United Kingdom and constituent countries, 2016",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"England and Wales: regions (within England), unitary authorities, counties, districts, London Boroughs, local health boards (within Wales)",,,,,,,,,,,,,,,,,,,
,"Scotland: council areas, Northern Ireland: 11 new Administrative Areas",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Area of usual residence,,Population,,,Live Births,,,,,,,,,,,,,Maternities,,
,,Numbers (thousands),,,Numbers1,,,,,,,,Rates2,,,Percentages,,Numbers,Rate,
,,Total,Female,Females aged            15 to 44,All,,,Within marriage or civil partnership,Outside marriage or civil partnership,,,,"Crude Birth Rate (CBR): all births per 1,000 population of all ages","General Fertility Rate (GFR): all live births per 1,000 women aged 15 to 44",Total Fertility Rate (TFR)3,Percentage of live births outside marriage or civil partnership,Percentage of live births under 2.5kg,Total,Maternity Rate4,
,,,,,Total,Male,Female,,Total,Joint registrations same address,Joint registrations different address,Sole registrations,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
E08000015,Wirral,321.2,166.0,54.8,"3,434","1,823","1,611","1,426","2,008","1,232",532,244,10.7,62.6,1.88,58.5,8.2,"3,391",61.8,
,,,,,,,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,"5,425.7","2,747.5","1,027.7","63,823","32,943","30,880","29,961","33,862","23,115","7,186","3,561",11.8,62.1,1.82,53.1,7.6,"63,215",61.5,
,,,,,,,,,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,337.7,172.0,51.0,"2,869","1,527","1,342","1,311","1,558","1,221",223,114,8.5,56.3,1.84,54.3,6.1,"2,834",55.6,
E06000010,"Kingston upon Hull, City of",260.2,129.4,54.0,"3,550","1,871","1,679","1,156","2,394","1,568",574,252,13.6,65.7,1.80,67.4,8.0,"3,534",65.4,
E06000012,North East Lincolnshire,159.1,81.0,27.9,"1,861",969,892,595,"1,266",851,266,149,11.7,66.6,1.95,68.0,8.3,"1,829",65.5,
E06000013,North Lincolnshire,170.8,86.2,29.0,"1,773",893,880,717,"1,056",779,190,87,10.4,61.2,1.82,59.6,8.8,"1,758",60.7,
E06000014,York,208.4,106.2,45.0,"1,936","1,008",928,"1,047",889,680,136,73,9.3,43.0,1.37,45.9,6.0,"1,920",42.6,
,,,,,,,,,,,,,,,,,,,,
