Economic: Left(0) <-> Right(200){uniform},Social: Liberalism(0) <-> Conservatism(200){uniform},Economic: Left <-> Right{gaussian-ish},Social: Liberalism <-> Conservatism{gaussian-ish},id
144,48,0.5853192204445087,-0.7555746078913547,30114
179,15,1.265634240327261,-1.4921990760651629,30115
88,39,-0.14377410453907608,-0.9405051654431238,30116
10,20,-1.704006396744705,-1.3674084731834937,30117
86,102,-0.16036574266933928,0.05953341561509815,30118
101,87,0.02533819060706725,-0.14655452247078535,30119
185,13,1.4334850521719162,-1.5560694348079291,30120
90,125,-0.11547223914507859,0.37456022403041705,30121
13,153,-1.5439760523568873,0.772635095418473,30122
143,47,0.5696634866543585,-0.7760281059401537,30123
51,183,-0.6487738699852162,1.388100700959195,30124
22,8,-1.2566172962650815,-1.743093924849367,30125
144,170,0.5780235210617779,1.062515487581073,30127
55,8,-0.5855186666731657,-1.7293322315808268,30128
162,128,0.8726448090969411,0.4157594416055433,30130
85,46,-0.17315572443429542,-0.7885240437776748,30131
51,170,-0.6532208006290268,1.0703770141946873,30132
69,154,-0.39101773711181603,0.7873715208329444,30133
136,76,0.4654561915191807,-0.3022814360817278,30134
188,146,1.553268056404345,0.6645144482779201,30136
171,30,1.0672073385218364,-1.1238964710763482,30137
33,153,-0.9818701575188307,0.7647753506476214,30138
161,142,0.8655842765324665,0.6081115958699534,30139
146,64,0.6022873806373239,-0.4994060055212153,30140
6,145,-1.8858611722236345,0.6487681850542567,30141
166,92,0.9595021434805006,-0.07981931715961148,30142
168,79,0.9984809685197152,-0.2612661358813959,30143
73,154,-0.33722013159195036,0.789273628999437,30144
87,12,-0.14961134119161715,-1.6005091768309279,30145
31,187,-1.0482080500948554,1.5127654342380281,30146
162,146,0.8723303073949173,0.6603962953295194,30147
9,22,-1.7589846282782287,-1.3116142257179815,30148
198,144,2.1659041998465423,0.6319898777131373,30149
24,136,-1.2051185604504566,0.5202607667859472,30150
105,190,0.07125264275065418,1.5936552862035605,30151
171,45,1.0794597885266748,-0.8249461114674178,30152
124,87,0.3029055097995124,-0.15413152131526672,30153
53,37,-0.6242819450843298,-0.9716442549268417,30154
151,144,0.6834066206721824,0.6386649450485223,30155
160,195,0.840961634602035,1.867041027465052,30156
162,23,0.8803138847727496,-1.2737062156549304,30157
138,194,0.48381782861054123,1.7679438767491196,30158
104,15,0.060971997663798884,-1.514720381567351,30159
145,78,0.5978922067222544,-0.2794528160412944,30160
181,157,1.3138727607019445,0.8414725313070496,30161
189,84,1.6162692828137546,-0.19663570232068595,30162
4,22,-2.0327563601883565,-1.2958889472000434,30164
178,143,1.2359278074177407,0.6108901261849848,30165
25,87,-1.1821096153749222,-0.149308903090351,30166
29,4,-1.0748480408962775,-1.9388764143297952,30167
80,27,-0.24520951782157702,-1.1805416532958426,30168
107,76,0.09501217368287643,-0.3124612680645737,30169
80,167,-0.24120417975219036,1.0193974775552668,30170
95,45,-0.047873568710583334,-0.8187584454622373,30171
30,153,-1.0614041084653816,0.7631286340790965,30172
11,8,-1.6462844544733057,-1.7491991882005966,30173
24,121,-1.211488650209255,0.31644521544210963,30175
148,148,0.6373984911144323,0.6850367843929344,30177
44,132,-0.7754458852112516,0.46008346703240144,30178
126,65,0.333762374768718,-0.4706691944544938,30179
118,150,0.22836425950742492,0.7261086544437994,30180
41,102,-0.8181516332110877,0.05456838004146141,30181
0,0,-2.326805081510215,-2.450880406892783,30182
57,29,-0.5532162791038941,-1.1327382153792322,30183
100,99,0.005912686103754093,0.014316127021358666,30184
84,93,-0.1922875921470845,-0.06390279475517095,30185
100,181,0.009911652907236826,1.336376131145167,30186
105,166,0.07327988224954254,1.0008811581110142,30187
42,128,-0.8056125933492918,0.4184626182684125,30189
155,91,0.7502347796220987,-0.09391790856755584,30190
151,94,0.6906414233838183,-0.05794205082429597,30191
54,106,-0.5973538012707496,0.11904161500576946,30192
184,80,1.414452969205012,-0.25302515913356266,30193
42,195,-0.8146279751676772,1.8565216215308806,30194
103,4,0.04027715646949664,-1.9416472124217325,30195
186,92,1.4966470882462433,-0.081445686359,30196
52,65,-0.6441174718790176,-0.4797860589927838,30197
135,127,0.4441734039024628,0.40521029880657033,30198
58,5,-0.5400322882910489,-1.9065899037882923,30199
75,8,-0.306761047864121,-1.734647682639867,30200
184,101,1.411627991405198,0.0433904965059798,30201
190,38,1.6453828867370253,-0.9555133255429195,30202
21,24,-1.2924273681210623,-1.2531306142915537,30203
11,77,-1.6221442551189666,-0.2986678761410299,30204
7,138,-1.8465094216354991,0.552519003423634,30205
5,0,-1.9813978921493447,-2.2978183266625063,30206
51,170,-0.6567612406422368,1.0723018656880592,30207
