"","i","code","constituency","Con","Lab","LD","Brexit","Green","SNP","PC","Other"
"263","263","E14000792","Lincoln","41","44"," 5"," 7"," 2"," 0"," 0"," 1"
"264","264","E14000793","Liverpool, Riverside","14","64"," 7"," 6"," 9"," 0"," 0"," 0"
"265","265","E14000794","Liverpool, Walton","16","70"," 6"," 0"," 5"," 0"," 0"," 3"
"266","266","E14000795","Liverpool, Wavertree","13","62","13"," 6"," 5"," 0"," 0"," 2"
"267","267","E14000796","Liverpool, West Derby","16","63"," 7"," 8"," 4"," 0"," 0"," 3"
"268","268","E14000797","Loughborough","47","40"," 8"," 0"," 3"," 0"," 0"," 2"
"269","269","E14000798","Louth and Horncastle","66","22"," 8"," 0"," 0"," 0"," 0"," 3"
"270","270","E14000799","Ludlow","60","15","21"," 0"," 4"," 0"," 0"," 0"
"271","271","E14000800","Luton North","34","46"," 8"," 7"," 3"," 0"," 0"," 2"
"272","272","E14000801","Luton South","31","46"," 0","10"," 4"," 0"," 0"," 9"
"273","273","E14000802","Macclesfield","50","33","14"," 0"," 4"," 0"," 0"," 0"
"274","274","E14000803","Maidenhead","59","13","26"," 0"," 3"," 0"," 0"," 0"
"275","275","E14000804","Maidstone and The Weald","55","17","23"," 0"," 4"," 0"," 0"," 2"
"276","276","E14000805","Makerfield","33","44"," 7","13"," 3"," 0"," 0"," 0"
"277","277","E14000806","Maldon","67","13","15"," 0"," 4"," 0"," 0"," 0"
"278","278","E14000807","Manchester Central","16","65"," 7"," 5"," 5"," 0"," 0"," 1"
"279","279","E14000808","Manchester, Gorton","11","67","10"," 6"," 6"," 0"," 0"," 0"
"280","280","E14000809","Manchester, Withington","12","60","19"," 4"," 5"," 0"," 0"," 0"
"281","281","E14000810","Mansfield","58","34"," 6"," 0"," 0"," 0"," 0"," 3"
"282","282","E14000811","Meon Valley","61","14","21"," 0"," 4"," 0"," 0"," 0"
"283","283","E14000812","Meriden","61","21","12"," 0"," 5"," 0"," 0"," 0"
"284","284","E14000813","Mid Bedfordshire","56","20","18"," 0"," 4"," 0"," 0"," 2"
"285","285","E14000814","Mid Derbyshire","57","29","10"," 0"," 4"," 0"," 0"," 0"
"286","286","E14000815","Mid Dorset and North Poole","57"," 8","32"," 0"," 2"," 0"," 0"," 0"
"287","287","E14000816","Mid Norfolk","58","24","15"," 0"," 0"," 0"," 0"," 3"
"288","288","E14000817","Mid Sussex","52","16","27"," 0"," 4"," 0"," 0"," 2"
"289","289","E14000818","Mid Worcestershire","64","14","15"," 0"," 4"," 0"," 0"," 2"
"290","290","E14000819","Middlesbrough","26","49"," 5","14"," 4"," 0"," 0"," 2"
"291","291","E14000820","Middlesbrough South and East Cleveland","55","37"," 5"," 0"," 3"," 0"," 0"," 0"
"292","292","E14000821","Milton Keynes North","47","42"," 9"," 0"," 3"," 0"," 0"," 0"
"293","293","E14000822","Milton Keynes South","47","39"," 8"," 0"," 3"," 0"," 0"," 2"
"294","294","E14000823","Mitcham and Morden","23","56","12"," 4"," 4"," 0"," 0"," 1"
"295","295","E14000824","Mole Valley","53"," 8","33"," 0"," 4"," 0"," 0"," 2"
"296","296","E14000825","Morecambe and Lunesdale","51","37"," 7"," 0"," 3"," 0"," 0"," 2"
"297","297","E14000826","Morley and Outwood","52","37"," 6"," 0"," 2"," 0"," 0"," 2"
"298","298","E14000827","New Forest East","57","15","22"," 0"," 5"," 0"," 0"," 2"
"299","299","E14000828","New Forest West","63","14","20"," 0"," 3"," 0"," 0"," 0"
"300","300","E14000829","Newark","61","23","13"," 0"," 3"," 0"," 0"," 0"
"301","301","E14000830","Newbury","54"," 8","32"," 0"," 5"," 0"," 0"," 2"
"302","302","E14000831","Newcastle upon Tyne Central","23","55"," 8","10"," 4"," 0"," 0"," 0"
"303","303","E14000832","Newcastle upon Tyne East","28","59"," 8"," 0"," 5"," 0"," 0"," 0"
"304","304","E14000833","Newcastle upon Tyne North","32","47","10"," 9"," 3"," 0"," 0"," 0"
"305","305","E14000834","Newcastle-under-Lyme","48","38"," 6"," 6"," 2"," 0"," 0"," 0"
"306","306","E14000835","Newton Abbot","50","17","27"," 0"," 3"," 0"," 0"," 2"
"307","307","E14000836","Normanton, Pontefract and Castleford","32","40"," 7","18"," 0"," 0"," 0"," 2"
"308","308","E14000837","North Cornwall","55"," 9","34"," 0"," 0"," 0"," 0"," 2"
"309","309","E14000838","North Devon","52"," 9","33"," 0"," 3"," 0"," 0"," 2"
"310","310","E14000839","North Dorset","59","14","23"," 0"," 4"," 0"," 0"," 0"
"311","311","E14000840","North Durham","28","47"," 8","13"," 3"," 0"," 0"," 2"
"312","312","E14000841","North East Bedfordshire","56","19","18"," 0"," 4"," 0"," 0"," 3"
"313","313","E14000842","North East Cambridgeshire","68","16","12"," 0"," 4"," 0"," 0"," 0"
"314","314","E14000843","North East Derbyshire","55","35"," 8"," 0"," 3"," 0"," 0"," 0"
"315","315","E14000844","North East Hampshire","57","11","27"," 0"," 4"," 0"," 0"," 2"
"316","316","E14000845","North East Hertfordshire","52","20","23"," 0"," 5"," 0"," 0"," 0"
"317","317","E14000846","North East Somerset","47","25","23"," 0"," 4"," 0"," 0"," 2"
"318","318","E14000847","North Herefordshire","59","14","20"," 0"," 7"," 0"," 0"," 0"
"319","319","E14000848","North Norfolk","46"," 7","40"," 7"," 0"," 0"," 0"," 0"
"320","320","E14000849","North Shropshire","57","25","13"," 0"," 4"," 0"," 0"," 2"
"321","321","E14000850","North Somerset","54","20","21"," 0"," 4"," 0"," 0"," 0"
"322","322","E14000851","North Swindon","53","35"," 8"," 0"," 3"," 0"," 0"," 0"
"323","323","E14000852","North Thanet","60","29"," 8"," 0"," 3"," 0"," 0"," 0"
"324","324","E14000853","North Tyneside","27","49"," 8","12"," 4"," 0"," 0"," 0"
